Pulau Jawa-Bali, Latitude, Longtitude
Provinsi DKI Jakarta,-6.211544,106.845172
Provinsi Jawa Barat,-7.090911,107.668887
Provinsi Jawa Tengah,-7.150975,110.1402594
Provinsi DI Yogyakarta,-7.8753849,110.4262088
Provinsi Jawa Timur,-7.5360639,112.2384017
Provinsi Banten,-6.4058172,106.0640179
Provinsi Bali,-8.4095178,115.188916

Pulau Timur, Latitude, Longtitude
Provinsi Nusa Tenggara Barat,-8.6529334,117.3616476
Provinsi Nusa Tenggara Timur,-8.6573819,121.0793705
Provinsi Maluku,-3.2384616,130.1452734
Provinsi Maluku Utara,1.5709993,127.8087693
Provinsi Papua Barat,-1.3361154,133.1747162
Provinsi Papua,-4.269928,138.0803529

Pulau Sumatera, Latitude, Longtitude
Provinsi Aceh,4.695135,96.7493993
Provinsi Sumatera Utara,2.1153547,99.5450974
Provinsi Sumatera Barat,-0.7399397,100.8000051
Provinsi Riau,0.2933469,101.7068294
Provinsi Jambi,-1.4851831,102.4380581
Provinsi Sumatera Selatan,-3.3194374,103.914399
Provinsi Bengkulu,-3.5778471,102.3463875
Provinsi Lampung,-4.5585849,105.4068079
Provinsi Kepulauan Bangka Belitung,-2.7410513,106.4405872
Provinsi Kepulauan Riau,3.9456514,108.1428669

Pulau Sulawesi, Latitude, Longtitude
Provinsi Sulawesi Utara,0.6246932,123.9750018
Provinsi Sulawesi Tengah,-1.4300254,121.4456179
Provinsi Sulawesi Selatan,-3.6687994,119.9740534
Provinsi Gorontalo,0.6999372,122.4467238
Provinsi Sulawesi Barat,-2.8441371,119.2320784
Provinsi Sulawesi Tenggara,-4.14491,122.174605

Pulau Kalimantan, Latitude, Longtitude
Provinsi Kalimantan Barat,-0.2787808,111.4752851
Provinsi Kalimantan Tengah,-1.6814878,113.3823545
Provinsi Kalimantan Selatan,-3.0926415,115.2837585
Provinsi Kalimantan Timur,1.6406296,116.419389

Kota di Provinsi DKI Jakarta, Latitude, Longtitude
Jakarta Pusat, -6.2293796,106.6646975
Jakarta Utara, -6.1355193,106.67708
Jakarta Barat, -6.1599916,106.6748557
Jakarta Timur, -6.2607811,106.7401997
Jakarta Selatan, -6.2839295,106.7196756
Kabupaten Kepulauan Seribu, -5.7639339,106.2543543

Kota atau Kab di DI Yogyakarta, Latitude, Longtitude
Kota Yogyakarta,-7.8031634,110.3336446
Kabupaten Sleman, -7.6893463,110.2164547
Kabupaten Bantul, -7.8978176,110.1979362
Kabupaten Gunung Kidul, -7.9923742,110.2522421
Kabupaten Kulon progo, -7.8121218,109.9793187

Kota atau Kab di Prov Banten, Latitude, Longtitude
Kabupaten Lebak,-6.6667485,105.8270176
Kabupaten Pandeglang,-6.6171468,104.9783463
Kabupaten Serang,-6.1058247,105.7881031
Kabupaten Tanggerang,-6.1811001,106.2028946
Kota Cilegon,-5.9779234,105.8400271
Kabupaten Tanggerang,-6.1811001,106.2028946
Kota Tanggerang Selatan,-6.2950786,106.4129076

Kota atau Kab di prov Jawa Tengah
Kota Semarang,-7.0245522,110.3346614
Kota Surakarta,-7.559122,110.7778332
Kota Salatiga, -7.3261666,110.4558851
Kota Magelang, -7.4729668,110.1763241
Kota Tegal, -6.8696784,109.0771408
Kota Pekalongan, -6.895855,109.6333032
Kab banjarnegara,-7.402706,109.681396
Kab Banyumas,-7.4832133,109.140438
Kabupaten Batang,-6.8941111,109.7234519
Kabupaten Blora,-6.95,111.4166667
Kabupaten Boyolali,-7.523819,110.595901
Kabupaten Brebes,-6.8833333,109.05
Kabupaten Cilacap,-7.733333,109
Kabupaten Demak,-6.888115,110.639297
Kabupaten Grobogan,-7.0217194,110.9625854
Kabupaten Jepara,-6.5596059,110.6717
Kabupaten Karanganyar,-7.5961111,110.9508333
Kabupaten Kebumen,-7.678682,109.656502
Kabupaten Kendal,-6.919686,110.205597
Kabupaten Klaten,-7.711687,110.595497
Kabupaten Kudus,-6.804087,110.838203
Kota Magelang,-7.481253,110.213799
Kabupaten Pati,-6.751338,111.038002
Kabupaten Pekalongan,-6.882887,109.669998
Kabupaten Pemalang,-6.884234,109.377998
Kabupaten Purbalingga,-7.390747,109.3638
Kabupaten Purworejo,-7.709731,110.008003
Kabupaten Rembang,-6.71124,111.345299
Kabupaten Semarang,-6.9666667,110.4166667
Kabupaten Sragen,-7.430229,111.021301
Kabupaten Sukoharjo,-7.6808818,110.8195292
Kabupaten Tegal,-6.8666667,109.1333333
Kabupaten Temanggung,-7.316669,110.174797
Kabupaten Wonogiri,-7.817782,110.920601
Kabupaten Wonosobo,-7.362109,109.899399

Kota di Jawa Barat, Latitude, Longtitude
BOGOR,-6.479679,106.824965,16127.0,
SUKABUMI,-6.915727,106.932576,17657.0,
CIANJUR,-6.822558,107.139542,40184.0,
BANDUNG,-7.012851,107.528627,40113.0,
GARUT,-7.202988,107.885592,44131.0,
TASIKMALAYA,-7.361212,108.112488,17424.0,
CIAMIS,-7.325788,108.3514,40113.0,
KUNINGAN,-6.976233,108.482982,40291.0,
CIREBON,-6.764507,108.478858,45112.0,
MAJALENGKA,-6.836531,108.227876,45414.0,
SUMEDANG,-6.861126,107.920102,45377.0,
INDRAMAYU,-6.327234,108.322903,45216.0,
SUBANG,-6.571549,107.762495,41212.0,
PURWAKARTA,-6.551701,107.446541,41117.0,
KARAWANG,-6.301721,107.30529,41312.0,
BEKASI,-6.364614,107.172509,17141.0,
BANDUNG BARAT,-6.840651,107.512302,40292.0,
PANGANDARAN,-7.701397,108.495155,17174.0,
BOGOR,-6.594946,106.794913,16127.0,
SUKABUMI,-6.918366,106.931496,43341.0,
BANDUNG,-6.910786,107.609757,40113.0,
CIREBON,-6.707076,108.557818,45112.0,
BEKASI,-6.236221,106.994293,17141.0,
DEPOK,-6.394473,106.822692,16424.0,
CIMAHI,-6.87121,107.555486,40523.0,
TASIKMALAYA,-7.316436,108.1971,46124.0,
BANJAR,-7.362487,108.55887,46311.0,

Kota atau Kab di prov Jawa Timur, Latitude, Longtitude
Kota Surabaya, -7.2754417,112.63028,
Kota Malang, -7.9784672,112.5493792
Kota Batu, -7.8806117,112.4811037
Kota Kediri, -7.842244,111.9337838
Kota Madiun, -7.6299749,111.4868511
Kota Mojokerto, -7.471402,112.3980306
Kota Blitar, -8.0947383,112.1240556
Kota Pasuruan, -7.6513482,112.8638945
Kota Probolinggo, -7.7721163,113.0538104
Kota Lumajang, -8.1232299,112.8098046
Kab Bangkalan, -7.0458574,112.7450746
Kab Banyuwangi, -8.3307094,113.5619102
Kab Blitar, -8.1307932,111.8875743
Kabupaten Bojonegoro, -7.2270372,111.4649929
Kabupaten Bondowoso, -7.9444749,113.6063347
Kabupaten Gresik, -6.5567793,111.2514147
Kabupaten Jember, -8.2648184,113.3237717
Kabupaten Jombang, -7.5606743,111.929539
Kabupaten Kediri, -7.800755,111.7799267
Kabupaten Lamongan, -7.1222387,111.9827814
Kabupaten Lumajang, -8.1232299,112.8098046
Kabupaten Madiun, -7.6110131,111.318985
Kabupaten Magetan, -7.6529799,111.1825717
Kabupaten Malang, -8.1106532,111.963194
Kabupaten Mojokerto, -7.5403157,112.1719675
Kabupaten Nganjuk, -7.6143366,111.617577
Kabupaten Ngawi, -7.4316882,111.0651365
Kabupaten Pacitan, -8.1010947,110.8329587
Kabupaten Pamekasan-7.0700639,112.9124269
Kabupaten Pasuruan, -7.7497571,112.5076846
Kabupaten Ponorogo, -7.970421,111.1997226
Kabupaten Probolinggo, -7.8489309,112.1022131
Kabupaten Sampang, -7.099938,112.9321703
Kabupaten Sidoarjo, -7.4545375,112.5005151
Kabupaten Situbondo, -7.7977865,113.6902106
Kabupaten Sumenep, -6.1463059,113.6025294
Kabupaten Trenggalek, -8.1353492,111.2892498
Kabupaten Tuban,-6.8933652,112.0016666
Kabupaten Tulungagung, -8.1475644,111.3677197


